94,华晨汽车集团控股有限公司,91210000744327380Q,http://www.qichacha.com/firm_3ca1e9af5088420d08c4b0b01c863617.html
95,大同煤矿集团有限责任公司,91140000602161688N,http://www.qichacha.com/firm_e42eb4900ecb77d13e36e9d46fa3759a.html
96,山西焦煤集团有限责任公司,91140000731914164T,http://www.qichacha.com/firm_153500cd5ba813e21c74a57af442370e.html
97,中国航空油料集团公司,911100007109303176,http://www.qichacha.com/firm_521771de27a98fadd3393b475a764af3.html
100,山西潞安矿业（集团）有限责任公司,9114000011076540XD,http://www.qichacha.com/firm_7e6e9b06e6d693ac8e2bab4c4a2be494.html
102,中国大唐集团公司,911100007109311097,http://www.qichacha.com/firm_1256c429414ebbcb2e44501d7c0ccb54.html
104,阳光金融控股投资集团有限公司,未公开,
105,雪松控股集团有限公司,91440101347466547J,http://www.qichacha.com/firm_ace60b5cdd0694903187b82bb9860c00.html
106,光明食品（集团）有限公司,913100001322382488,http://www.qichacha.com/firm_8fab7238c1d79bcd46d604b1de2143c9.html
108,山西晋城无烟煤矿业集团有限责任公司,911400001112003634,http://www.qichacha.com/firm_de6b45a3d09e2d4824df98bdc8a37c79.html
110,海亮集团有限公司,913306811462584935,http://www.qichacha.com/firm_14db24934ec6fb559926696f23101bb7.html
113,中国通用技术（集团）控股有限责任公司,9111000071092200XY,http://www.qichacha.com/firm_162785d7984c6cb8d3c52f82b2381fa2.html
116,新疆广汇实业投资（集团）有限责任公司,91650000625531477N,http://www.qichacha.com/firm_a85fde04738f7edc4c6d14c1348ca20e.html
118,中国有色矿业集团有限公司,91110000100024915R,http://www.qichacha.com/firm_c26ffba5a8ebbd4a5be1b5406c3f7769.html
119,兖矿集团有限公司,91370000166120002R,http://www.qichacha.com/firm_e33d4ab84a374d88a911c7bf980c8ef9.html
121,首钢总公司,911100001011200015,http://www.qichacha.com/firm_d620835aaae14e62fdc965fd41a51d8d.html
123,富德生命人寿保险股份有限公司,91440300736677639J,http://www.qichacha.com/firm_f4da679affe0c51669bdbe03cdc79089.html
124,三胞集团有限公司,913201002496667805,http://www.qichacha.com/firm_cbc26b2673b87c61b90fcaaa047f5eda.html
125,上海东浩兰生国际服务贸易（集团）有限公司,91310000759006889A,http://www.qichacha.com/firm_61241c4f4b4e7e43e2f2b3b55b28dfa2.html
127,泰康保险集团股份有限公司,911100001000238160,http://www.qichacha.com/firm_67faee2f9bbbe2c2b650d6c1d7e744c7.html
128,陕西有色金属控股集团有限责任公司,91610000719754006H,http://www.qichacha.com/firm_43b0e7ee5fa34a581c20d1e236f77b94.html
129,河南能源化工集团有限公司,91410000663414132K,http://www.qichacha.com/firm_bafe7f4a5938ebf2ecf8cda5395dd7fc.html
131,中国平煤神马能源化工集团有限责任公司,914100006831742526,http://www.qichacha.com/firm_a03b71a44a4a39e44234e84fb66ac297.html
132,天津百利机械装备集团有限公司,9112000030039577XY,http://www.qichacha.com/firm_b56d6d34491d49955ac6f783fcd742c7.html
133,黑龙江北大荒农垦集团总公司,9123300071107724XC,http://www.qichacha.com/firm_68b998250588cd69bb4f2be8e91e7b4c.html
135,广西投资集团有限公司,91450000198229061H,http://www.qichacha.com/firm_cf3bab1be26dc697ff742bcff18dca90.html
136,中国航空集团公司,未公开,http://www.qichacha.com/firm_fe050b7dca55f2b60200a0439a8dd0e8.html
138,天津渤海轻工投资集团有限公司,91120116300525351R,http://www.qichacha.com/firm_90ff68d67b0c9aa006fc9532967880f2.html
139,天津渤海化工集团有限责任公司,91120000103061105B,http://www.qichacha.com/firm_e4cb73444d4b087eba5266804b0e2f6e.html
140,万向集团公司,91330000142911934W,http://www.qichacha.com/firm_c5927da3b35e9a0b8313dbaa4bf50053.html
142,江苏悦达集团有限公司,91320900140132611G,http://www.qichacha.com/firm_64b5b78124794fdb87f6f41e4343aeb4.html
143,中国黄金集团公司,91110000100001625L,http://www.qichacha.com/firm_f2af03206b4780d7b99d715619b25d3f.html
149,青山控股集团有限公司,91330300751176226P,http://www.qichacha.com/firm_5cf815f16422964047cf7f370f613b93.html
152,山东省商业集团有限公司,91370000163055647M,http://www.qichacha.com/firm_7495fd8597e7bd91f9f3550f209a5719.html
153,中天钢铁集团有限公司,9132041273224772XD,http://www.qichacha.com/firm_c3a109830c75186f009920bf0cc2282b.html
156,海信集团有限公司,913702001635787718,http://www.qichacha.com/firm_31d8f9b114df02101f8cd77541f0d192.html
157,天津中环电子信息集团有限公司,91120000103069027P,http://www.qichacha.com/firm_13aeedcd6952a2cc17068f9636337592.html
160,上海电气（集团）总公司,913100001322128733,http://www.qichacha.com/firm_fab887abdd765949525cba4761e2d07e.html
161,东岭集团股份有限公司,91610000719750590P,http://www.qichacha.com/firm_5f629c9bfb7f8c969b3ea729774d0823.html
162,超威电源有限公司,913305007044631852,http://www.qichacha.com/firm_64e67c721ec06618258b6f2af5ecc804.html
163,清华控股有限公司,91110000101985670J,http://www.qichacha.com/firm_1024173ee4a565f549bcc4e38fa47a1a.html
165,南山集团有限公司,9137068116944191XU,http://www.qichacha.com/firm_01a25749a7056c3cdb259039b644767a.html
167,天能电池集团有限公司,913305007490121183,http://www.qichacha.com/firm_0fd3962ad4854f416cc00a6d64a02cdc.html
169,山东东明石化集团有限公司,9137172816928036XB,http://www.qichacha.com/firm_e07c9d675bc5d1fa4209880baf63686b.html
170,盛虹控股集团有限公司,91320509796141166A,http://www.qichacha.com/firm_6560fb5248c4bb93bbbbdc624b8a8e47.html
171,广州医药集团有限公司,91440101231247350J,http://www.qichacha.com/firm_41126cd9b5b14c409b8218fad11d290a.html
172,浙江省交通投资集团有限公司,91330000734530895W,http://www.qichacha.com/firm_a2d1c852294518d2041a5a54da4027ae.html
173,武汉商联（集团）股份有限公司,91420100799790313Q,http://www.qichacha.com/firm_595497ff6404170353a7a48b9beaef67.html
